covariate,Target,EntrezGeneSymbol,category,ecs_role,logFC,t,P.Value,adj.P.Val
hypothermia,MCP-1,CCL2,ECS-modulated cytokine,MCP-1; CB2 suppresses monocyte recruitment,0.33076917788926696,2.092553769160709,0.0566173398499203,0.1812384764301471
hyperglycemia,FABPL,FABP1,Transport,Intracellular AEA transport,-1.1061858348224254,-2.0970479771099426,0.05673400901262352,0.31111402698197105
obese,FABPE,FABP5,Transport,Intracellular AEA transport,-0.2666858567917086,-2.049577917505607,0.05868415501965492,0.3633901504103254
hypothermia,COX-2,PTGS2,Oxylipin crosstalk,COX-2: oxygenates AEA; suppressed by cannabinoids,-0.6605431661606292,-2.05877187153219,0.06018376933208121,0.18748174051807387
hyperglycemia,Leptin,LEP,Metabolic,Leptin; CB1 upregulation in obesity,-1.5458359625215767,-1.9978699397413575,0.06774688415427241,0.31111402698197105
male,FABP,FABP3,Transport,Intracellular AEA transport,0.3056841181073941,1.895172074138348,0.07820478896640175,0.2919774713064611
hyperglycemia,MIF,MIF,ECS-modulated cytokine,Macrophage MIF suppressed by cannabinoids,0.35915068946381173,1.9161964836646708,0.07826195266690067,0.31111402698197105
hyperglycemia,TrkB,NTRK2,Neurotrophin,TrkB: BDNF receptor; ECS-modulated,-1.3692147643028756,-1.8924272154423272,0.08159111744591269,0.31111402698197105
hyperglycemia,FABP,FABP3,Transport,Intracellular AEA transport,-0.4104249279067119,-1.8815518188287856,0.08315688683267398,0.31111402698197105
hypothermia,L-VEGF165,VEGFA,ECS-modulated cytokine,Angiogenesis; CB1 expressed on endothelium,-0.2323119729946484,-1.876105454223031,0.0833207569602432,0.22804724526661013
hyperglycemia,BDNF,BDNF,Neurotrophin,ECS retrograde signal at TrkB synapses,0.9598773258379082,1.8789800079043208,0.08677771469062524,0.31114506603610564
hyperglycemia,VEGF,VEGFA,ECS-modulated cytokine,Angiogenesis; CB1 expressed on endothelium,-0.7002140102210228,-1.8255916420718057,0.09165274690738738,0.3116939879325383
obese,VEGF,VEGFA,ECS-modulated cytokine,Angiogenesis; CB1 expressed on endothelium,-0.5151946712020277,-1.7967961126652958,0.09293618859217792,0.3762205773041576
hypothermia,FABPE,FABP5,Transport,Intracellular AEA transport,0.20299404740221855,1.7956705917591549,0.09586600256217426,0.24663718062289255
male,PPARa,PPARA,Nuclear receptor,PPARα: OEA target; anti-inflammatory,0.3198210358787399,1.776412684996931,0.09666609454233394,0.30795868373788576
male,NAPEP,NAPEPLD,Synthesis,NAPE-PLD: AEA synthesis,0.5519567240420038,1.7701176922252366,0.09774467100532984,0.30795868373788576
obese,IL-10,IL10,ECS-modulated cytokine,Upregulated by cannabinoids (anti-inflam.),-0.2889363343876409,-1.767004864222519,0.09797065610278972,0.37773876814247925
hyperglycemia,FAAH2,FAAH2,Degradation,FAAH2: alternate AEA hydrolysis,-0.2939769846221194,-1.7654972683458394,0.10163980442903792,0.3164242101263557
male,IL-1b,IL1B,ECS-modulated cytokine,Suppressed by CB2; NLRP3 inhibited by CBD,-0.34517069496144565,-1.7461619843221932,0.10194695711832676,0.3114190225407115
hyperglycemia,b-NGF,NGF,Neurotrophin,NGF drives TRPV1 sensitization; ECS feedback,-0.7030074955906638,-1.73874394202994,0.1063907538997632,0.3181356067656706
male,FABPL,FABP1,Transport,Intracellular AEA transport,0.6696992519959829,1.7004342007373838,0.110411249910602,0.31990399913509887
male,IP-10,CXCL10,ECS-modulated cytokine,Suppressed by CB2 (IFN-γ–driven); top Luminex hit,-0.2497609306676398,-1.6773085042226823,0.11492109352928968,0.3234832912915165
hypothermia,IL-10,IL10,ECS-modulated cytokine,Upregulated by cannabinoids (anti-inflam.),0.2522250494190067,1.684496024738653,0.1159793363804648,0.2770247175805418
male,FABPE,FABP5,Transport,Intracellular AEA transport,0.22009062508343957,1.6460488268196478,0.12127119662947164,0.3266812193861489
hyperglycemia,VEGF121,VEGFA,ECS-modulated cytokine,Angiogenesis; CB1 expressed on endothelium,-0.4584519568267773,-1.6582995023512097,0.12188400834364904,0.3319847382363889
male,b-NGF,NGF,Neurotrophin,NGF drives TRPV1 sensitization; ECS feedback,0.48199036000857,1.6425601055542147,0.12199839352670708,0.3267893858401683
obese,b-NGF,NGF,Neurotrophin,NGF drives TRPV1 sensitization; ECS feedback,-0.4786622979293485,-1.6374511665797478,0.12275411624225158,0.3953179266501438
obese,BDNF,BDNF,Neurotrophin,ECS retrograde signal at TrkB synapses,0.6483314694284024,1.6327489763760443,0.12488864164875706,0.3970264993386507
hypothermia,IL-1b,IL1B,ECS-modulated cytokine,Suppressed by CB2; NLRP3 inhibited by CBD,0.3464266924466075,1.619858743233411,0.12930736807687948,0.2958342587643473
hyperglycemia,Leptin,LEP,Metabolic,Leptin; CB1 upregulation in obesity,-0.8470652217752227,-1.622650768516778,0.12936113219600198,0.3356462557738441
male,Fractalkine/CX3CL-1,CX3CL1,ECS-modulated cytokine,Fractalkine; ECS modulates microglial CX3CR1,0.4429823793658146,1.6064174452800852,0.12975616354688616,0.3344734867370436
hypothermia,5-Lipoxygenase,ALOX5,Oxylipin crosstalk,5-LOX: oxygenates AEA → leukotrienes,-0.48021367923325126,-1.6096327101396637,0.1315337252559365,0.29874341514856473
obese,COX-2,PTGS2,Oxylipin crosstalk,COX-2: oxygenates AEA; suppressed by cannabinoids,0.565207380368611,1.5786099474835706,0.13569372862255868,0.4072047924685816
obese,VEGF121,VEGFA,ECS-modulated cytokine,Angiogenesis; CB1 expressed on endothelium,-0.3183960054848759,-1.558166549893656,0.1404540448544094,0.41025077307546215
male,TrkB,NTRK2,Neurotrophin,TrkB: BDNF receptor; ECS-modulated,0.8312753515871687,1.5192209950734563,0.1502296328871623,0.34623163389675327
male,Leptin,LEP,Metabolic,Leptin; CB1 upregulation in obesity,0.8873349905546684,1.5085341887902903,0.1529174334328526,0.34791646446828256
obese,TrkA,NTRK1,Neurotrophin,TrkA: NGF receptor,0.2910519181472781,1.506431170049254,0.1531372497924515,0.4218040374437885
male,VEGF,VEGFA,ECS-modulated cytokine,Angiogenesis; CB1 expressed on endothelium,0.4461977337461064,1.5068180024243347,0.15335281365643016,0.34818989630733677
obese,IL-6,IL6,ECS-modulated cytokine,Suppressed by CB2 agonism; CBD reduces IL-6,0.29513996727664116,1.4951462555280224,0.15602822907498837,0.4242992299927256
obese,FABP,FABP3,Transport,Intracellular AEA transport,-0.2510525284552223,-1.4833871293497989,0.15908918775179265,0.42780237727216425
hyperglycemia,TrkA,NTRK1,Neurotrophin,TrkA: NGF receptor,0.327793457418912,1.4573439647622262,0.1696465923248313,0.37114918627965626
hyperglycemia,COX-2,PTGS2,Oxylipin crosstalk,COX-2: oxygenates AEA; suppressed by cannabinoids,0.7168606563428531,1.4435782156288874,0.1742473902978177,0.375517884698678
male,MIF,MIF,ECS-modulated cytokine,Macrophage MIF suppressed by cannabinoids,-0.2603670252560381,-1.4127243020131854,0.1788619294579578,0.37009804433726823
hypothermia,PPAR gamma,PPARG,Nuclear receptor,PPARγ: AEA / OEA / PEA target; CBD agonist,-0.1902551765701138,-1.4141057778245214,0.18088141424127965,0.3643440656809405
hyperglycemia,5-Lipoxygenase,ALOX5,Oxylipin crosstalk,5-LOX: oxygenates AEA → leukotrienes,0.6239304777397392,1.3920847076122105,0.18793815899081667,0.3866791439522276
male,IL-10,IL10,ECS-modulated cytokine,Upregulated by cannabinoids (anti-inflam.),0.15672120171399634,1.368188909024727,0.19210261345590365,0.3808957464255539
hypothermia,IL-6,IL6,ECS-modulated cytokine,Suppressed by CB2 agonism; CBD reduces IL-6,0.15211752896538747,1.363589845946998,0.19589405122018924,0.3832267721935791
male,VEGF121,VEGFA,ECS-modulated cytokine,Angiogenesis; CB1 expressed on endothelium,0.1834333292430489,1.3392553209295304,0.20112443908894484,0.3887886120993272
hypothermia,Adiponectin,ADIPOQ,Metabolic,Adiponectin; inverse correlation with ECS tone,0.14420155191594258,1.3104944907285268,0.21275858296513617,0.4028466107725091
hyperglycemia,PPAR gamma,PPARG,Nuclear receptor,PPARγ: AEA / OEA / PEA target; CBD agonist,0.19060645189160352,1.3023327145740402,0.21606471907297603,0.4112926624389144
hypothermia,MIF,MIF,ECS-modulated cytokine,Macrophage MIF suppressed by cannabinoids,0.19613325450258984,1.2915629771090635,0.2190486546205374,0.4093161454343454
obese,ABD12,ABHD12,Degradation,ABHD12: 2-AG hydrolysis,0.2662700243620603,1.267738442114825,0.22460059616233707,0.4842739966806216
hyperglycemia,TNF-a,TNF,ECS-modulated cytokine,Suppressed by CB1/CB2 activation,0.16078458759369044,1.268702497622878,0.2274449589962931,0.4211672619433834
hyperglycemia,MIF,MIF,ECS-modulated cytokine,Macrophage MIF suppressed by cannabinoids,-0.3028999649146879,-1.2633656587144724,0.2292942703171219,0.4229167742214963
obese,BDNF,BDNF,Neurotrophin,ECS retrograde signal at TrkB synapses,0.4370226790302172,1.2247059675149552,0.23994603695978775,0.497822546426898
obese,VEGF121,VEGFA,ECS-modulated cytokine,Angiogenesis; CB1 expressed on endothelium,-0.17004394435621775,-1.2134697791424676,0.2440845257561335,0.5026139105922474
obese,Fractalkine/CX3CL-1,CX3CL1,ECS-modulated cytokine,Fractalkine; ECS modulates microglial CX3CR1,-0.34428776747590106,-1.2086016716036638,0.24589463909524184,0.5038803240160105
male,TNF-a,TNF,ECS-modulated cytokine,Suppressed by CB1/CB2 activation,0.11008478806379668,1.198441228339095,0.24998589196718193,0.4340089249957038
hyperglycemia,IL-6,IL6,ECS-modulated cytokine,Suppressed by CB2 agonism; CBD reduces IL-6,-0.155042563426641,-1.1978251583938024,0.2529939018318256,0.4443877388128404
hypothermia,FABP,FABP3,Transport,Intracellular AEA transport,0.1188630621234638,1.1844507994780804,0.25748381307445073,0.45220161454719926
hypothermia,TNF-a,TNF,ECS-modulated cytokine,Suppressed by CB1/CB2 activation,0.10934692232706644,1.1369381140569403,0.27613142090047804,0.47325066661087656
obese,TPH1,TPH1,Serotonin,Tryptophan hydroxylase,-0.09710450066726548,-1.1118316010569096,0.28406041259695475,0.5375368235027823
hypothermia,IP-10,CXCL10,ECS-modulated cytokine,Suppressed by CB2 (IFN-γ–driven); top Luminex hit,0.1815196681417648,1.082059107193737,0.2989320420229657,0.49454016063109385
hypothermia,Fractalkine/CX3CL-1,CX3CL1,ECS-modulated cytokine,Fractalkine; ECS modulates microglial CX3CR1,0.33450005631008545,1.0618576520166692,0.3076707817899016,0.5029906290581848
obese,5-Lipoxygenase,ALOX5,Oxylipin crosstalk,5-LOX: oxygenates AEA → leukotrienes,0.36813442261475954,1.0546995965235135,0.30858650696103873,0.5592382893836073
male,IL-6,IL6,ECS-modulated cytokine,Suppressed by CB2 agonism; CBD reduces IL-6,-0.20859484093075875,-1.0203035884317546,0.3243238029060357,0.5036882643844827
hyperglycemia,Adiponectin,ADIPOQ,Metabolic,Adiponectin; inverse correlation with ECS tone,0.13795349572282456,1.0066160833548332,0.33302669551146225,0.5174986257928077
hyperglycemia,IL-1b,IL1B,ECS-modulated cytokine,Suppressed by CB2; NLRP3 inhibited by CBD,0.1553322648077093,0.9893008893933144,0.3411014869804564,0.5248615990084462
male,resistin,RETN,Metabolic,Resistin; ECS-metabolic axis,0.32799949756665275,0.9210377222636577,0.3721164245292438,0.5441366246878955
male,L-VEGF165,VEGFA,ECS-modulated cytokine,Angiogenesis; CB1 expressed on endothelium,0.11192286408991478,0.9041424390246944,0.38071130237145734,0.5514232822925212
hyperglycemia,IP-10,CXCL10,ECS-modulated cytokine,Suppressed by CB2 (IFN-γ–driven); top Luminex hit,0.1413218472694915,0.8673782579339828,0.4019235249045231,0.5793790965884565
hypothermia,IL-10,IL10,ECS-modulated cytokine,Upregulated by cannabinoids (anti-inflam.),0.10906666391312886,0.863063725189686,0.4037779647336657,0.5947357657358836
obese,FABP,FABP3,Transport,Intracellular AEA transport,-0.08757557881170427,-0.8565856825398375,0.405418759519278,0.6405359535298244
obese,L-VEGF165,VEGFA,ECS-modulated cytokine,Angiogenesis; CB1 expressed on endothelium,-0.1061875017457097,-0.8410779129854131,0.41377433079199144,0.6469061167512827
male,ABD12,ABHD12,Degradation,ABHD12: 2-AG hydrolysis,-0.18050840044979496,-0.8380443707769945,0.41562052724842513,0.5810609539049651
male,TNF-a,TNF,ECS-modulated cytokine,Suppressed by CB1/CB2 activation,0.13036573000630058,0.8373286952763282,0.4160096562710599,0.5814963076539237
male,Leptin,LEP,Metabolic,Leptin; CB1 upregulation in obesity,0.3280053880977627,0.8327371249952392,0.4185118537067342,0.583358892785556
hypothermia,TPH1,TPH1,Serotonin,Tryptophan hydroxylase,0.06681929948740375,0.7509207718836294,0.4661053621756114,0.6459924464959049
obese,resistin,RETN,Metabolic,Resistin; ECS-metabolic axis,-0.264603039864698,-0.7407646059226507,0.4705017383251121,0.6917892107724378
hyperglycemia,MCP-1,CCL2,ECS-modulated cytokine,MCP-1; CB2 suppresses monocyte recruitment,-0.1264216232280243,-0.7085895976849438,0.4914588714423527,0.6547825142048513
obese,NAPEP,NAPEPLD,Synthesis,NAPE-PLD: AEA synthesis,-0.23436414027259356,-0.6921764204929489,0.49961265668055455,0.7128747443500341
male,5-Lipoxygenase,ALOX5,Oxylipin crosstalk,5-LOX: oxygenates AEA → leukotrienes,-0.2417048449091004,-0.6804828305951086,0.5069306290158622,0.657703998882417
male,IL-10,IL10,ECS-modulated cytokine,Upregulated by cannabinoids (anti-inflam.),0.11975292246984438,0.6798022878057667,0.5073490363592785,0.6579091941417512
male,VEGF121,VEGFA,ECS-modulated cytokine,Angiogenesis; CB1 expressed on endothelium,0.14071235936076146,0.6482323573319932,0.526977569273037,0.6736704025515362
obese,TNF-a,TNF,ECS-modulated cytokine,Suppressed by CB1/CB2 activation,-0.06287675474172989,-0.6378647535208006,0.533370496033191,0.7351098703885887
hyperglycemia,Fractalkine/CX3CL-1,CX3CL1,ECS-modulated cytokine,Fractalkine; ECS modulates microglial CX3CR1,-0.25014038752254514,-0.6375977561724615,0.5359286365070164,0.6878164573184061
obese,IL-6,IL6,ECS-modulated cytokine,Suppressed by CB2 agonism; CBD reduces IL-6,-0.08007011729842659,-0.6336927434340316,0.5360155111958753,0.7366277094873349
obese,MIF,MIF,ECS-modulated cytokine,Macrophage MIF suppressed by cannabinoids,0.0987234446383369,0.6090933354289124,0.5517584535641111,0.7494169430519361
hyperglycemia,FABP,FABP3,Transport,Intracellular AEA transport,0.07848757917278149,0.5863584103658523,0.5679727529750531,0.7132791950656996
male,MIF,MIF,ECS-modulated cytokine,Macrophage MIF suppressed by cannabinoids,-0.09290963192868928,-0.5785750489151941,0.5717629333746057,0.7108238760764207
obese,bFGF,FGF2,ECS-modulated cytokine,ECS / FGF2 overlap in neural development,-0.12367601401105424,-0.5614294550116465,0.582961568630205,0.7728398892295877
hyperglycemia,PPARa,PPARA,Nuclear receptor,PPARα: OEA target; anti-inflammatory,-0.13450470357774474,-0.5574380245658483,0.5871065870098063,0.7283852991197521
obese,IP-10,CXCL10,ECS-modulated cytokine,Suppressed by CB2 (IFN-γ–driven); top Luminex hit,0.08763957236064467,0.538272579250151,0.5984436511967783,0.7807779641716661
obese,IL-1b,IL1B,ECS-modulated cytokine,Suppressed by CB2; NLRP3 inhibited by CBD,0.11277912885833374,0.5219884394684863,0.6094529744684278,0.7896289750603236
obese,MIF,MIF,ECS-modulated cytokine,Macrophage MIF suppressed by cannabinoids,-0.09698143239241076,-0.49581104594153275,0.6273565681247806,0.8005510614491488
hypothermia,PPARa,PPARA,Nuclear receptor,PPARα: OEA target; anti-inflammatory,0.09859983723806524,0.4611424497647045,0.6523332974510592,0.7941762890175341
hyperglycemia,bFGF,FGF2,ECS-modulated cytokine,ECS / FGF2 overlap in neural development,0.1271076799133639,0.4371497529856794,0.6695421996433455,0.7886954300100935
male,Adiponectin,ADIPOQ,Metabolic,Adiponectin; inverse correlation with ECS tone,-0.04607584720717404,-0.4237783876861463,0.6779530421080884,0.7875711939836325
hyperglycemia,NAPEP,NAPEPLD,Synthesis,NAPE-PLD: AEA synthesis,-0.04157359293379924,-0.37838265066693616,0.7114335232357782,0.8195197840767996
obese,IL-10,IL10,ECS-modulated cytokine,Upregulated by cannabinoids (anti-inflam.),-0.04322856963250043,-0.3494599660589658,0.7316987499047067,0.861877336608118
male,FABP,FABP3,Transport,Intracellular AEA transport,0.03460797119810423,0.34141948243792447,0.7376900717087629,0.8314990848957744
hypothermia,IL-6,IL6,ECS-modulated cytokine,Suppressed by CB2 agonism; CBD reduces IL-6,0.04975299590703802,0.32815394575100354,0.7480319653883621,0.857097489113164
hyperglycemia,TNF-a,TNF,ECS-modulated cytokine,Suppressed by CB1/CB2 activation,-0.04156335461897309,-0.3239889079896815,0.7512520709545563,0.8469133126598908
obese,MCP-1,CCL2,ECS-modulated cytokine,MCP-1; CB2 suppresses monocyte recruitment,-0.0469686474824322,-0.26277630349238307,0.7963693694601619,0.9002174755109507
hypothermia,FAAH2,FAAH2,Degradation,FAAH2: alternate AEA hydrolysis,0.03381709003662324,0.24531642784857496,0.8100498377328118,0.8931670750760192
hyperglycemia,IL-10,IL10,ECS-modulated cytokine,Upregulated by cannabinoids (anti-inflam.),-0.03424931632980653,-0.21394875125386204,0.8340041815592356,0.9000555802430239
obese,TNF-a,TNF,ECS-modulated cytokine,Suppressed by CB1/CB2 activation,0.02662296338690815,0.1652708454117243,0.8709816948615047,0.941843310749434
male,IL-6,IL6,ECS-modulated cytokine,Suppressed by CB2 agonism; CBD reduces IL-6,-0.01934227365136732,-0.1543332227902823,0.8794767347003747,0.9286330913611156
hypothermia,TrkA,NTRK1,Neurotrophin,TrkA: NGF receptor,0.0319645337966022,0.1518519944910427,0.8816400285060153,0.9378583204723396
hypothermia,VEGF121,VEGFA,ECS-modulated cytokine,Angiogenesis; CB1 expressed on endothelium,0.01712424940188125,0.14458603704748788,0.887260025898581,0.9400357249323446
obese,PPAR gamma,PPARG,Nuclear receptor,PPARγ: AEA / OEA / PEA target; CBD agonist,-0.01885564847797003,-0.13165442678089032,0.897042252890389,0.9544390108454894
hypothermia,MIF,MIF,ECS-modulated cytokine,Macrophage MIF suppressed by cannabinoids,0.01949130626280255,0.09201807460900815,0.9280896005233364,0.9629734121380136
hyperglycemia,TPH1,TPH1,Serotonin,Tryptophan hydroxylase,-0.00942331940750526,-0.08346491604964516,0.9347909850278484,0.961260667902864
male,PPAR gamma,PPARG,Nuclear receptor,PPARγ: AEA / OEA / PEA target; CBD agonist,0.01025935588981034,0.07250113172812049,0.9431947130375145,0.9665807737306362
male,MCP-1,CCL2,ECS-modulated cytokine,MCP-1; CB2 suppresses monocyte recruitment,-0.00988418773922408,-0.05558308011995071,0.956433353771608,0.9756037523268882
hyperglycemia,L-VEGF165,VEGFA,ECS-modulated cytokine,Angiogenesis; CB1 expressed on endothelium,0.00578640051969393,0.04993796814952114,0.960953364784138,0.9770312262340594
obese,Adiponectin,ADIPOQ,Metabolic,Adiponectin; inverse correlation with ECS tone,0.00470496251755014,0.04187352007145191,0.9671628610529464,0.984266815880437
hyperglycemia,BDNF,BDNF,Neurotrophin,ECS retrograde signal at TrkB synapses,0.0152922776817269,0.02915529104761668,0.9771966583986946,0.986477940210453
hypothermia,BDNF,BDNF,Neurotrophin,ECS retrograde signal at TrkB synapses,0.00920330835479659,0.02322831480192231,0.9818216775183656,0.989626511656547
