covariate,Target,EntrezGeneSymbol,family,skin_role,logFC,t,P.Value,adj.P.Val
obese,ISK52,SPINK14,SPINK,SPINK family member; skin-associated,0.33089226058561727,1.6014687382132051,0.13441007662823884,0.989924122354332
hyperglycemia,ISK6,SPINK6,SPINK,Epidermal inhibitor of KLK5/14,0.5196731004068823,1.6233481625747792,0.1344320291845514,0.993191905993884
hypothermia,kallikrein 8,KLK8,KLK,Neuropsin; skin cornified envelope; A-V hit,0.4205681386674512,1.6086543668918905,0.13490204059100616,0.9653804233353228
hyperglycemia,ISK4,SPINK4,SPINK,Gastrointestinal and epidermal inhibitor,0.3576865764470224,1.5926155965736215,0.14092798336457282,0.993191905993884
obese,Kallikrein 7,KLK7,KLK,Skin-specific chymase; cleaves corneodesmosin; top A-V hit (rank 3),0.35027704829338185,1.5699878460572567,0.14155517469853773,0.989924122354332
obese,kallikrein 8,KLK8,KLK,Neuropsin; skin cornified envelope; A-V hit,0.5129179213059257,1.5040326004256273,0.15759222639282353,0.989924122354332
hypothermia,Kallikrein 6,KLK6,KLK,Neurosin; brain and skin; cleaves desmoglein,0.4930331991658304,1.4711994031724611,0.1684040699084325,0.9653804233353228
obese,ISK2,SPINK2,SPINK,"Serine protease inhibitor; skin, testis",0.4409670401207753,1.4325860904678165,0.17668400771273687,0.989924122354332
hyperglycemia,Kallikrein 11,KLK11,KLK,Trypsin-like; expressed in skin,0.3299292962626212,1.4484785881737283,0.17672862703249517,0.993191905993884
male,SCCA1,SERPINB3,SERPIN,SCCA1: squamous cell carcinoma antigen; inhibits KLK and chymase,0.30570952738557705,1.4121965689611051,0.18231553699293587,0.999123858326998
hyperglycemia,kallikrein 8,KLK8,KLK,Neuropsin; skin cornified envelope; A-V hit,0.45270051483817786,1.4105112067950525,0.18739558334702203,0.993191905993884
hypothermia,protein Z inhibitor,SERPINA10,SERPIN,Protein Z-dependent protease inhibitor; A-V hit,-0.3857606371161327,-1.3660921146352192,0.19814515329824137,0.9653804233353228
hyperglycemia,ISK2,SPINK2,SPINK,"Serine protease inhibitor; skin, testis",0.5499838340635592,1.3582386724942097,0.2031475113275492,0.993191905993884
obese,Kallikrein 11,KLK11,KLK,Trypsin-like; expressed in skin,0.1115297869174818,1.340431179007779,0.2039836551082228,0.989924122354332
hyperglycemia,kallikrein 5,KLK5,KLK,Skin-specific; cleaves SPINK5/LEKTI; drives desquamation cascade,-0.18214948714184484,-1.3534131630844608,0.20438938277458185,0.993191905993884
hyperglycemia,kallikrein 13,KLK13,KLK,Kallikrein-13; skin and seminal plasma,0.6269915291691701,1.3527934809787263,0.20477542335367088,0.993191905993884
obese,kallikrein 8,KLK8,KLK,Neuropsin; skin cornified envelope; A-V hit,0.31173520818361145,1.3208988571916245,0.21023440092029635,0.989924122354332
male,ISK6,SPINK6,SPINK,Epidermal inhibitor of KLK5/14,-0.31844761023358076,-1.3027539224909928,0.216311026124128,0.999123858326998
male,protein Z inhibitor,SERPINA10,SERPIN,Protein Z-dependent protease inhibitor; A-V hit,0.313963669209131,1.2838545320783423,0.2224948253342226,0.999123858326998
hypothermia,TATI,SPINK1,SPINK,"Serine protease inhibitor; skin, pancreas",-0.23462883962668965,-1.2890088419435777,0.22298582325642025,0.9653804233353228
obese,kallikrein 14,KLK14,KLK,Skin-specific; activates pro-KLK5/7; desquamation cascade,0.28076587553092974,1.1935461735261703,0.25483837213633914,0.989924122354332
male,ISK4,SPINK4,SPINK,Gastrointestinal and epidermal inhibitor,0.21837578034189364,1.1830091594310688,0.25883116697217745,0.999123858326998
male,kallikrein 10,KLK10,KLK,Kallikrein-10; epidermal and epithelial; A-V hit,0.32119276788173173,1.1365854178087338,0.27717969141954946,0.999123858326998
hyperglycemia,ISK13,SPINK13,SPINK,SPINK family member; skin-associated,-0.21870928144575408,-1.139087103114573,0.28017355210049116,0.993191905993884
hypothermia,SCCA1,SERPINB3,SERPIN,SCCA1: squamous cell carcinoma antigen; inhibits KLK and chymase,-0.25486541037869653,-1.1160998650997136,0.2872584521759779,0.9653804233353228
hyperglycemia,Kallikrein 11,KLK11,KLK,Trypsin-like; expressed in skin,0.131520727983816,1.0954228902431202,0.29786269188593584,0.993191905993884
male,SPINK5,SPINK5,SPINK,LEKTI: major epidermal barrier inhibitor; KLK5/7 substrate,0.24095698979086916,1.0824577675089984,0.2996304388138945,0.999123858326998
hyperglycemia,kallikrein 13,KLK13,KLK,Kallikrein-13; skin and seminal plasma,-0.21564404568551035,-1.077726775446455,0.3053334562878012,0.993191905993884
obese,kallikrein 5,KLK5,KLK,Skin-specific; cleaves SPINK5/LEKTI; drives desquamation cascade,-0.10496779615948898,-1.0508314575768145,0.3132476745021051,0.989924122354332
male,ISK2,SPINK2,SPINK,"Serine protease inhibitor; skin, testis",-0.3202399550067062,-1.0018619259849613,0.3355423072012177,0.999123858326998
hyperglycemia,kallikrein 5,KLK5,KLK,Skin-specific; cleaves SPINK5/LEKTI; drives desquamation cascade,0.152470133069193,1.0057932493291428,0.3371692558480205,0.993191905993884
hypothermia,Kallikrein 7,KLK7,KLK,Skin-specific chymase; cleaves corneodesmosin; top A-V hit (rank 3),0.26685297671124286,0.9977162068591452,0.33920697990555826,0.9653804233353228
obese,ISK7,SPINK7,SPINK,Epidermis-specific inhibitor,0.40777687958620057,0.9864272716499396,0.342767380403157,0.989924122354332
hypothermia,Kallikrein 11,KLK11,KLK,Trypsin-like; expressed in skin,0.2039508666693483,0.9855328504464708,0.3447424231192303,0.9653804233353228
obese,ISK4,SPINK4,SPINK,Gastrointestinal and epidermal inhibitor,0.1833167849949246,0.9814893266332642,0.3449858707733091,0.989924122354332
male,kallikrein 14,KLK14,KLK,Skin-specific; activates pro-KLK5/7; desquamation cascade,-0.2433848748854551,-0.9173659277073006,0.376362482507146,0.999123858326998
obese,kallikrein 13,KLK13,KLK,Kallikrein-13; skin and seminal plasma,0.13524967738537436,0.9139083407968756,0.3780736486007886,0.989924122354332
obese,protein Z inhibitor,SERPINA10,SERPIN,Protein Z-dependent protease inhibitor; A-V hit,-0.23547800115660095,-0.9064806867143188,0.3818404874467467,0.989924122354332
obese,kallikrein 14,KLK14,KLK,Skin-specific; activates pro-KLK5/7; desquamation cascade,0.2392522809623968,0.902941228095604,0.3837003197982509,0.989924122354332
hyperglycemia,TATI,SPINK1,SPINK,"Serine protease inhibitor; skin, pancreas",0.13501405609122144,0.9037381994480144,0.38643336034430054,0.993191905993884
hyperglycemia,protein Z inhibitor,SERPINA10,SERPIN,Protein Z-dependent protease inhibitor; A-V hit,-0.2773672178059647,-0.8537269675573033,0.412341736434476,0.993191905993884
male,TATI,SPINK1,SPINK,"Serine protease inhibitor; skin, pancreas",0.13976669854929732,0.8434932180122555,0.41488794927353767,0.999123858326998
obese,ISK13,SPINK13,SPINK,SPINK family member; skin-associated,-0.13072107737260957,-0.8361396554285078,0.41888636485052577,0.989924122354332
male,kallikrein 5,KLK5,KLK,Skin-specific; cleaves SPINK5/LEKTI; drives desquamation cascade,0.08068097240716691,0.7924592935824469,0.44288261219477054,0.999123858326998
male,kallikrein 14,KLK14,KLK,Skin-specific; activates pro-KLK5/7; desquamation cascade,-0.18879928833407672,-0.7821825717920798,0.44871841457326167,0.999123858326998
obese,SPINK5,SPINK5,SPINK,LEKTI: major epidermal barrier inhibitor; KLK5/7 substrate,0.173563313862391,0.7639292578493809,0.45918909311433354,0.989924122354332
obese,kallikrein 14,KLK14,KLK,Skin-specific; activates pro-KLK5/7; desquamation cascade,0.1778641275037284,0.7367860306541282,0.4749151381368978,0.989924122354332
hypothermia,kallikrein 5,KLK5,KLK,Skin-specific; cleaves SPINK5/LEKTI; drives desquamation cascade,0.06646938551292582,0.6567365027726293,0.5243327405977602,0.9653804233353228
hypothermia,protein Z inhibitor,SERPINA10,SERPIN,Protein Z-dependent protease inhibitor; A-V hit,-0.1882850018362601,-0.6397581198234763,0.5349232749509921,0.9653804233353228
hyperglycemia,Kallikrein 7,KLK7,KLK,Skin-specific chymase; cleaves corneodesmosin; top A-V hit (rank 3),0.17268549939999409,0.6267485538879166,0.5442708765255841,0.993191905993884
obese,TATI,SPINK1,SPINK,"Serine protease inhibitor; skin, pancreas",-0.10377267123489452,-0.6192465151974373,0.5469493705579536,0.989924122354332
male,kallikrein 13,KLK13,KLK,Kallikrein-13; skin and seminal plasma,0.2177730934829211,0.6031298898044518,0.5572828379090824,0.999123858326998
male,Kallikrein 6,KLK6,KLK,Neurosin; brain and skin; cleaves desmoglein,-0.1878540677935648,-0.5964788392528302,0.5615769767847008,0.999123858326998
hyperglycemia,ISK8,SPINK8,SPINK,Epidermis-associated inhibitor,0.08868098721194874,0.5899464692725591,0.5677259985819512,0.993191905993884
hypothermia,kallikrein 14,KLK14,KLK,Skin-specific; activates pro-KLK5/7; desquamation cascade,0.15011331457588212,0.5568249719796723,0.5883672414752833,0.972645995706614
hypothermia,ISK52,SPINK14,SPINK,SPINK family member; skin-associated,0.14044969302652902,0.5450779931236585,0.5962452251940429,0.9731670356440926
obese,SCCA1,SERPINB3,SERPIN,SCCA1: squamous cell carcinoma antigen; inhibits KLK and chymase,-0.12412735089028196,-0.5401898456345777,0.5985970489641316,0.989924122354332
obese,Kallikrein 11,KLK11,KLK,Trypsin-like; expressed in skin,0.09849963043726433,0.5193852672783509,0.6125839500649087,0.989924122354332
hyperglycemia,SCCA1,SERPINB3,SERPIN,SCCA1: squamous cell carcinoma antigen; inhibits KLK and chymase,-0.11488576921402388,-0.5147242141042435,0.6174248083957985,0.993191905993884
obese,ISK8,SPINK8,SPINK,Epidermis-associated inhibitor,-0.05987701271844783,-0.511811158556788,0.6177135411384265,0.989924122354332
male,protein Z inhibitor,SERPINA10,SERPIN,Protein Z-dependent protease inhibitor; A-V hit,0.13357693198114032,0.5016619171139498,0.624629514051404,0.999123858326998
hyperglycemia,SCCA2,SERPINB4,SERPIN,SCCA2: skin; inhibits KLK and chymase,0.24334039631171536,0.49256527535834355,0.632562320695513,0.993191905993884
male,kallikrein 13,KLK13,KLK,Kallikrein-13; skin and seminal plasma,-0.07076924508845085,-0.4645089137765211,0.6502746744704362,0.999123858326998
male,Kallikrein 7,KLK7,KLK,Skin-specific chymase; cleaves corneodesmosin; top A-V hit (rank 3),-0.1073463234282799,-0.44214959681087246,0.6659868702729461,0.999123858326998
hypothermia,ISK6,SPINK6,SPINK,Epidermal inhibitor of KLK5/14,-0.12703821428312445,-0.4269856550596606,0.6773747813279897,0.9854534642739554
hyperglycemia,kallikrein 14,KLK14,KLK,Skin-specific; activates pro-KLK5/7; desquamation cascade,-0.137887993974442,-0.3938633379514382,0.7015757580671467,0.993191905993884
obese,kallikrein 5,KLK5,KLK,Skin-specific; cleaves SPINK5/LEKTI; drives desquamation cascade,0.0461524379428575,0.3915546707153245,0.70198709247377,0.9920095296526154
hypothermia,kallikrein 13,KLK13,KLK,Kallikrein-13; skin and seminal plasma,0.06336044356614311,0.39112284718866286,0.7028878850067777,0.9888211616638888
hypothermia,ISK4,SPINK4,SPINK,Gastrointestinal and epidermal inhibitor,0.08154003205593156,0.3744217601955338,0.7149336238698973,0.9888211616638888
male,ISK52,SPINK14,SPINK,SPINK family member; skin-associated,-0.07749285402743997,-0.34246168106887365,0.7377330370141567,0.999123858326998
obese,kallikrein 13,KLK13,KLK,Kallikrein-13; skin and seminal plasma,0.12445989430209432,0.3417921357402271,0.7382260733647963,0.9920095296526154
male,kallikrein 14,KLK14,KLK,Skin-specific; activates pro-KLK5/7; desquamation cascade,-0.08228983153825559,-0.3315502457459986,0.7457250107770915,0.999123858326998
hyperglycemia,kallikrein 10,KLK10,KLK,Kallikrein-10; epidermal and epithelial; A-V hit,0.120439884178155,0.3290903021705402,0.7486251650934824,0.993191905993884
hyperglycemia,ISK9,SPINK9,SPINK,Skin-specific inhibitor of KLK1; top A-V hit (rank 1),-0.11024416736698968,-0.3134632933296329,0.7601312715073167,0.993191905993884
male,kallikrein 8,KLK8,KLK,Neuropsin; skin cornified envelope; A-V hit,0.11428598185156846,0.3090883034688268,0.7623813352070283,0.999123858326998
hypothermia,kallikrein 5,KLK5,KLK,Skin-specific; cleaves SPINK5/LEKTI; drives desquamation cascade,0.02376477526800104,0.2458962067790789,0.8101156579450774,0.9949297481887854
hyperglycemia,protein Z inhibitor,SERPINA10,SERPIN,Protein Z-dependent protease inhibitor; A-V hit,-0.07337118789045262,-0.20765022807384775,0.8394812322693923,0.993191905993884
hypothermia,Kallikrein 11,KLK11,KLK,Trypsin-like; expressed in skin,0.02017397905170025,0.2025968874274972,0.8430059121691912,0.997574239884999
male,Kallikrein 11,KLK11,KLK,Trypsin-like; expressed in skin,-0.01731418778189921,-0.1933864150128966,0.8497651099431667,0.999123858326998
male,SCCA2,SERPINB4,SERPIN,SCCA2: skin; inhibits KLK and chymase,-0.068630923029429,-0.18481765431706895,0.8563575859124946,0.999123858326998
male,kallikrein 8,KLK8,KLK,Neuropsin; skin cornified envelope; A-V hit,-0.04467219841585038,-0.177078711550732,0.8622912103670882,0.999123858326998
male,Kallikrein 11,KLK11,KLK,Trypsin-like; expressed in skin,0.02972098758040062,0.15466691623831433,0.8795558135571597,0.999123858326998
male,kallikrein 5,KLK5,KLK,Skin-specific; cleaves SPINK5/LEKTI; drives desquamation cascade,-0.01795956985964177,-0.1513390432845675,0.8821247996592305,0.999123858326998
male,ISK8,SPINK8,SPINK,Epidermis-associated inhibitor,0.01771138497408017,0.14977299859442694,0.883334703506431,0.999123858326998
hypothermia,ISK8,SPINK8,SPINK,Epidermis-associated inhibitor,0.01902828597533287,0.14303666290540945,0.8887480253393014,0.9989581741104436
male,ISK9,SPINK9,SPINK,Skin-specific inhibitor of KLK1; top A-V hit (rank 1),0.03850645452198027,0.1402024472198136,0.8907495704301377,0.999123858326998
obese,SCCA2,SERPINB4,SERPIN,SCCA2: skin; inhibits KLK and chymase,-0.04680908824969719,-0.12604570977975635,0.9017149997422004,0.9963584998701666
obese,kallikrein 10,KLK10,KLK,Kallikrein-10; epidermal and epithelial; A-V hit,-0.03111408152602033,-0.10497455637227349,0.9180737679899654,0.9963584998701666
male,ISK7,SPINK7,SPINK,Epidermis-specific inhibitor,0.04072116291939019,0.0948434831796009,0.9259531421786582,0.999123858326998
hypothermia,ISK2,SPINK2,SPINK,"Serine protease inhibitor; skin, testis",-0.0353459557362572,-0.0938389885698592,0.9268727040684144,0.9989581741104436
obese,ISK9,SPINK9,SPINK,Skin-specific inhibitor of KLK1; top A-V hit (rank 1),0.02305767250511206,0.08394341322227684,0.934440477743792,0.9963584998701666
male,ISK13,SPINK13,SPINK,SPINK family member; skin-associated,-0.00664935779556372,-0.04136380724461439,0.9676638140346844,0.999123858326998
hypothermia,ISK13,SPINK13,SPINK,SPINK family member; skin-associated,-0.0052733527827387,-0.0298551536627548,0.9767009489512376,0.9989581741104436
